Second,Average,Min,Max,Median
0,-39.24749607642103,-60.0,-32.4,-60.0
1,-39.2486211689383,-60.0,-32.8,-60.0
2,-39.30351521960317,-60.0,-32.4,-60.0
3,-39.551637302071704,-60.0,-32.4,-60.0
4,-38.75594629852101,-60.0,-30.4,-60.0
5,-39.55815329172898,-60.0,-32.4,-60.0
6,-39.28653596001927,-60.0,-30.4,-60.0
7,-40.029251636327814,-60.0,-33.2,-60.0
8,-38.47588370684899,-60.0,-30.4,-60.0
9,-38.9210976958138,-60.0,-32.4,-60.0
10,-39.02850245956537,-60.0,-31.199999999999996,-60.0
11,-39.253167517884016,-60.0,-30.799999999999997,-60.0
12,-38.661361073643015,-60.0,-30.4,-60.0
13,-39.530201106001776,-60.0,-32.8,-60.0
14,-39.54230495671099,-60.0,-31.6,-60.0
15,-39.13325165840109,-60.0,-30.4,-60.0
16,-39.52981440327792,-60.0,-32.8,-60.0
17,-39.38685612913496,-60.0,-32.8,-60.0
18,-39.73498326894864,-60.0,-32.8,-60.0
19,-38.987243638433085,-60.0,-30.4,-60.0
20,-39.82551842403137,-60.0,-31.199999999999996,-60.0
21,-38.839860063729525,-60.0,-31.199999999999996,-60.0
22,-40.16980764659355,-60.0,-33.2,-60.0
23,-39.04226678460792,-60.0,-30.799999999999997,-60.0
24,-38.686058296893606,-60.0,-31.199999999999996,-60.0
25,-39.27450745090489,-60.0,-32.4,-60.0
26,-39.11388519179714,-60.0,-30.4,-60.0
27,-39.065095456349454,-60.0,-31.199999999999996,-60.0
28,-39.336437743412844,-60.0,-31.199999999999996,-60.0
29,-39.34378270029014,-60.0,-33.2,-60.0
