Elapsed Time (s),Value
0.000,0.82
0.001,0.81
0.001,0.81
0.002,0.82
0.002,0.81
0.002,0.82
0.003,0.81
0.003,0.81
0.003,0.82
0.004,0.82
0.004,0.81
0.005,0.82
0.005,0.82
0.005,0.81
0.006,0.82
0.006,0.82
0.006,0.82
0.007,0.81
0.007,0.82
0.007,0.82
0.008,0.82
0.008,0.82
0.009,0.82
0.009,0.82
0.009,0.82
0.010,0.82
0.010,0.82
0.011,0.82
0.011,0.82
0.011,0.82
0.012,0.82
0.012,0.82
0.012,0.82
0.013,0.82
0.013,0.82
0.014,0.82
0.014,0.82
0.014,0.82
0.015,0.82
0.015,0.82
0.015,0.82
0.016,0.82
0.016,0.82
0.016,0.82
0.017,0.82
0.017,0.82
0.018,0.82
0.018,0.82
0.018,0.82
0.019,0.82
0.019,0.82
0.019,0.82
0.020,0.82
0.020,0.82
0.020,0.82
0.021,0.82
0.021,0.82
0.022,0.82
0.022,0.82
0.022,0.82
0.023,0.82
0.023,0.82
0.023,0.82
0.024,0.82
0.024,0.82
0.025,0.82
0.025,0.82
0.025,0.82
0.026,0.82
0.026,0.82
0.026,0.82
0.027,0.82
0.027,0.82
0.027,0.82
0.028,0.82
0.028,0.82
0.029,0.82
0.029,0.82
0.029,0.82
0.030,0.82
0.030,0.82
0.030,0.82
0.031,0.82
0.031,0.82
0.031,0.82
0.032,0.82
0.032,0.82
0.033,0.82
0.033,0.82
0.033,0.82
0.034,0.82
0.034,0.82
0.034,0.82
0.035,0.82
0.035,0.82
0.036,0.82
0.036,0.82
0.036,0.82
0.037,0.82
0.037,0.82
0.037,0.82
0.038,0.82
0.038,0.82
0.038,0.82
0.039,0.82
0.039,0.82
0.040,0.82
0.040,0.82
0.040,0.82
0.041,0.82
0.041,0.82
0.041,0.82
0.042,0.82
0.042,0.82
0.042,0.82
0.043,0.82
0.043,0.82
0.044,0.82
0.044,0.82
0.044,0.82
0.045,0.82
0.045,0.82
0.045,0.82
0.046,0.82
0.046,0.82
0.046,0.82
0.047,0.82
0.047,0.82
0.048,0.82
0.048,0.82
0.048,0.82
0.049,0.82
0.049,0.82
0.049,0.82
0.050,0.82
0.050,0.82
0.051,0.82
0.051,0.82
0.051,0.82
0.052,0.82
0.052,0.82
0.052,0.82
0.053,0.82
0.053,0.82
0.053,0.82
0.054,0.82
0.054,0.82
0.055,0.82
0.055,0.82
0.055,0.82
0.056,0.82
0.056,0.82
0.056,0.82
0.057,0.82
0.057,0.83
0.057,0.82
0.058,0.82
0.058,0.82
0.059,0.83
0.059,0.83
0.059,0.83
0.060,0.83
0.060,0.83
0.060,0.83
0.061,0.83
0.061,0.83
0.061,0.83
0.062,0.83
0.062,0.83
0.063,0.83
0.063,0.83
0.063,0.83
0.064,0.84
0.064,0.84
0.064,0.84
0.065,0.84
0.065,0.84
0.065,0.84
0.066,0.84
0.066,0.84
0.067,0.85
0.067,0.85
0.067,0.85
0.068,0.85
0.068,0.85
0.068,0.85
0.069,0.85
0.069,0.85
0.069,0.85
0.070,0.86
0.070,0.86
0.071,0.86
0.071,0.86
0.071,0.86
0.072,0.86
0.072,0.86
0.072,0.86
0.073,0.87
0.073,0.87
0.073,0.87
0.074,0.87
0.074,0.87
0.075,0.87
0.075,0.87
0.075,0.87
0.076,0.87
0.076,0.87
0.076,0.88
0.077,0.88
0.077,0.88
0.077,0.88
0.078,0.88
0.078,0.88
0.079,0.88
0.079,0.88
0.079,0.88
0.080,0.88
0.080,0.88
0.080,0.88
0.081,0.88
0.081,0.88
0.081,0.88
0.082,0.88
0.082,0.88
0.083,0.88
0.083,0.88
0.083,0.88
0.084,0.88
0.084,0.88
0.084,0.88
0.085,0.88
0.085,0.88
0.085,0.88
0.086,0.88
0.086,0.88
0.087,0.88
0.087,0.88
0.087,0.88
0.088,0.88
0.088,0.88
0.088,0.88
0.089,0.88
0.089,0.88
0.089,0.88
0.090,0.88
0.090,0.88
0.091,0.88
0.091,0.88
0.091,0.88
0.092,0.88
0.092,0.88
0.092,0.87
0.093,0.88
0.093,0.88
0.093,0.87
0.094,0.87
0.094,0.87
0.095,0.88
0.095,0.87
0.095,0.87
0.096,0.87
0.096,0.87
0.096,0.87
0.097,0.87
0.097,0.87
0.098,0.87
0.098,0.87
0.098,0.87
0.099,0.87
0.099,0.87
0.099,0.87
0.100,0.87
0.100,0.87
0.100,0.87
0.101,0.87
0.101,0.87
0.102,0.87
0.102,0.87
0.102,0.87
0.103,0.87
0.103,0.87
0.103,0.87
0.104,0.87
0.104,0.87
0.105,0.87
0.105,0.86
0.105,0.86
0.106,0.86
0.106,0.86
0.106,0.87
0.106,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.107,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.108,0.86
0.109,0.86
0.109,0.86
0.109,0.86
0.109,0.86
0.109,0.86
0.109,0.86
0.109,0.86
0.109,0.85
0.110,0.85
0.110,0.86
0.110,0.85
0.110,0.85
0.110,0.85
0.110,0.85
0.110,0.85
0.110,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.111,0.85
0.112,0.85
0.112,0.85
0.112,0.85
0.112,0.85
0.112,0.85
0.112,0.85
0.112,0.85
0.112,0.84
0.113,0.85
0.113,0.85
0.113,0.85
0.113,0.84
0.113,0.84
0.113,0.84
